PackageID,Product,MetrcQty,CurrentQty,Supplier,Cost,CostPerItem,Synced,OriginalQuantity,MetrcTag,ExternalID,ActivatedAt,MetrcName
2000068239,GMO Cookies 1g Dose Bar,,2,,$60.00 ,$12.00 ,Yes,5,1A40E01000059F2000068239,10813872,5/22/2024,GMO Cookies 1g Dose Bar
2000068238,Purple Ice Water 1g CO2 Cart,,4,Dose Extracts LLC,$50.00 ,$10.00 ,Yes,5,1A40E01000059F2000068238,10813871,5/22/2024,Purple Ice Water 1g CO2 Cart
2000068246,Master Yoda 1g King Palm Blunt,,,,$0.10 ,$0.10 ,Yes,1,1A40E01000059F2000068246,10813880,5/22/2024,Master Yoda 1g King Palm Blunt
2000068237,Apples & Bananas 1g CO2 Cart,,1,,$50.00 ,$10.00 ,Yes,5,1A40E01000059F2000068237,10813868,5/22/2024,Apples & Bananas 1g CO2 Cart
2000068240,Wilfunk 1g Dose Bar,,4,Dose Extracts LLC,$60.00 ,$12.00 ,Yes,5,1A40E01000059F2000068240,10813873,5/22/2024,Wilfunk 1g Dose Bar
2000068241,Wilfunk 1g CO2 Cart,,5,Dose Extracts LLC,$50.00 ,$10.00 ,Yes,5,1A40E01000059F2000068241,10813874,5/22/2024,Wilfunk 1g CO2 Cart
2000068235,Gasonade 1g Dose Bar,,5,Dose Extracts LLC,$60.00 ,$12.00 ,Yes,5,1A40E01000059F2000068235,10813866,5/22/2024,Gasonade 1g Dose Bar
2000068233,Mimosa Mints 1g Dose Bar,,4,,$60.00 ,$12.00 ,Yes,5,1A40E01000059F2000068233,10813864,5/22/2024,Mimosa Mints 1g Dose Bar
2000068236,Royal Slippers 1g Dose Bar,,3,,$60.00 ,$12.00 ,Yes,5,1A40E01000059F2000068236,10813867,5/22/2024,Royal Slippers 1g Dose Bar
2000068234,Papaya Punch 1g Dose Bar,,5,Dose Extracts LLC,$60.00 ,$12.00 ,Yes,5,1A40E01000059F2000068234,10813865,5/22/2024,Papaya Punch 1g Dose Bar
2000068231,Northern Lights 1g Dose Bar,,,,$60.00 ,$12.00 ,Yes,5,1A40E01000059F2000068231,10813862,5/22/2024,Northern Lights 1g Dose Bar
2000068228,Orange Romulan 1g Dose Bar,1,,,$60.00 ,$12.00 ,Yes,5,1A40E01000059F2000068228,10813859,5/22/2024,Orange Romulan 1g Dose Bar
2000068229,White Licorice 1g Dose Bar,,3,,$60.00 ,$12.00 ,Yes,5,1A40E01000059F2000068229,10813860,5/22/2024,White Licorice 1g Dose Bar
2000068227,Tiger Moon 1:1 CBD 1g Dose Bar,1,,,$60.00 ,$12.00 ,Yes,5,1A40E01000059F2000068227,10813858,5/22/2024,Tiger Moon 1:1 CBD 1g Dose Bar
2000068232,Blue Dream 1g Dose Bar,,,,$60.00 ,$12.00 ,Yes,5,1A40E01000059F2000068232,10813863,5/22/2024,Blue Dream 1g Dose Bar
2000068230,Apples & Bananas 1g Dose Bar,,2,,$60.00 ,$12.00 ,Yes,5,1A40E01000059F2000068230,10813861,5/22/2024,Apples & Bananas 1g Dose Bar
7000013135,Stoner's Pod - Watermelon - 2g,,,,$120.00 ,$12.00 ,Yes,10,1A40E0100006987000013135,10755870,5/22/2024,Stoner's Pod - Watermelon - 2g
7000013136,Stoners - Wild Blueberry,,,,$50.00 ,$5.00 ,Yes,10,1A40E0100006987000013136,10755871,5/22/2024,Stoners - Wild Blueberry
7000013137,Stoner's Pod - Wild Blueberry - 2g,,,,$120.00 ,$12.00 ,Yes,10,1A40E0100006987000013137,10755872,5/22/2024,Stoner's Pod - Wild Blueberry - 2g
7000013134,Stoner's Pod - Sex On The Beach - 2g,,,,$120.00 ,$12.00 ,Yes,10,1A40E0100006987000013134,10755869,5/22/2024,Stoner's Pod - Sex On The Beach - 2g
7000013133,Stoner's Pod - Marshmallow - 2g,,,,$120.00 ,$12.00 ,Yes,10,1A40E0100006987000013133,10755868,5/22/2024,Stoner's Pod - Marshmallow - 2g
7000013130,Stoners - Grape Soda,,,,$50.00 ,$5.00 ,Yes,10,1A40E0100006987000013130,10755865,5/22/2024,Stoners - Grape Soda
