SKU,Available,Product,Strain,Price,Cost,Category,Tags,Type,Isretired,Lineage,Distillation,Allergens,Brand,Mastercategory,Netweight,Productgrams,Regulatorycategory,Size,Taxable,THCcontent,UPC,Vendor
29129593,46,SOUR COOKIE | PRE ROLL | C 3 MEDICAL,SOUR COOKIES,6,,Pre-Rolls,,Quantity,No,,,,C 3 MEDICAL,Flower,,1g,,,Yes,,,C 3 MEDICAL
66354078,0,GHOST TRAIN HAZE | PRE ROLL | C 3 MEDICAL,GHOST TRAIN HAZE,6,,Pre-Rolls,,Quantity,No,,,,C 3 MEDICAL,Flower,,1g,,,Yes,,,C 3 MEDICAL
68797873,5,CITRUS JELLY | HASHIMALS | ROSIN | BEE | TRIBE,,22,11,SHO,,Quantity,No,,,,,Concentrate,,1g,,,Yes,,,
67028114,4,CITRUS JELLY | HASHIMALS | ROSIN | BUNNY | TRIBE,,22,11,SHO,,Quantity,No,,,,,Concentrate,,1g,,,Yes,,,TRIBE EDIBLES
75670568,3,CITRUS JELLY | HASHIMALS | ROSIN | FROG | TRIBE,,22,11,SHO,,Quantity,No,,,,,Concentrate,,1g,,,Yes,,,TRIBE EDIBLES
88170528,3,CITRUS JELLY | HASHIMALS | ROSIN | OWL | TRIBE,,22,11,SHO,,Quantity,No,,,,,Concentrate,,1g,,,Yes,,,TRIBE EDIBLES
97116718,3,FLORA | DRAGON FIRE OG | HASHIMALS | ROSIN | COSMOS | TRIBE,,22,11,SHO,,Quantity,No,,,,,Concentrate,,1g,,,Yes,,,TRIBE EDIBLES
84943164,0,FLORA | CHRONIC BERRIES | HASHIMALS | ROSIN | ROSE | TRIBE,,22,11,SHO,,Quantity,No,,,,,Concentrate,,1g,,,Yes,,,TRIBE EDIBLES
17514545,5,FLORA | CHRONIC BERRIES | HASHIMALS | ROSIN | SUNFLOWER | TRIBE,,22,11,SHO,,Quantity,No,,,,,Concentrate,,1g,,,Yes,,,TRIBE EDIBLES
20215964,4,FLORA | DRAGON FIRE OG | HASHIMALS | ROSIN | SUNFLOWER | TRIBE,,22,11,SHO,,Quantity,No,,,,,Concentrate,,1g,,,Yes,,,TRIBE EDIBLES
68745439,4,FLORA | DRAGON FIRE OG | HASHIMALS | ROSIN | ROSE | TRIBE,,22,11,SHO,,Quantity,No,,,,,Concentrate,,1g,,,Yes,,,TRIBE EDIBLES
16678285,4,FLORA | OMNI FIRE OG | HASHIMALS | ROSIN | SUNFLOWER | TRIBE,,22,11,SHO,,Quantity,No,,,,,Concentrate,,1g,,,Yes,,,TRIBE EDIBLES
52444595,2,HELLA JELLY | HASHIMALS | CANNABIS LEAF | 2G | TRIBE,,38,20,SHO,,Quantity,No,,,,,Concentrate,,2g,,,Yes,,,TRIBE EDIBLES
39488180,5,KASHMIR MINTZ | HASHIMALS | STARFISH | 2G | TRIBE,,38,20,SHO,,Quantity,No,,,,,Concentrate,,2g,,,Yes,,,TRIBE EDIBLES
77278372,4,STRAWBERRY COOLER | HASHIMALS | DOLPHIN | 2G | TRIBE,,38,20,SHO,,Quantity,No,,,,,Concentrate,,2g,,,Yes,,,TRIBE EDIBLES
09243866,1,CHERRY LIMEADE | 1200 MG | SYRUP | MINDFUL INDULGENCE,,38,20,Edibles,,Quantity,No,,,,,Edibles,,1200g,,,Yes,,,TRIBE EDIBLES
39009626,0,BLACKBERRY WATERMELON | 1200 MG | SYRUP | MINDFUL INDULGENCE,,38,20,Edibles,,Quantity,No,,,,,Edibles,,1200g,,,Yes,,,TRIBE EDIBLES
20060103,0,promo pre rolls,,0,,Pre-Rolls,,Quantity,No,,,,,Flower,,1g,,,Yes,,,
09524332,9,JUICE POP DIAMONDS 2G | CCE,,27,15,BHO,,Quantity,No,,,,,Concentrates,,2g,,,Yes,,,CARTER COUNTY EXTRACTS
81444883,10,JUICE POP LIVE RESIN BADDER 2G | CCE,,24,12,BHO,,Quantity,No,,,,,Concentrates,,2g,,,Yes,,,CARTER COUNTY EXTRACTS
04354146,10,SUPER NASTY LEMON JUICE CURED RESIN 2G | CCE,,20,10,BHO,,Quantity,No,,,,,Concentrates,,2g,,,Yes,,,CARTER COUNTY EXTRACTS
29208160,9,STRAWBERRY ZILLOW CURED RESIN 2G | CCE,,20,10,BHO,,Quantity,No,,,,,Concentrates,,2g,,,Yes,,,CARTER COUNTY EXTRACTS
